Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
Before Sunset,2004,80,R,2700000,5820649,219425,2004-07-04 00:00:00,15855022,Color,DTS Dolby Digital SDDS,1.85 : 1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,140000000,305413918,46630690,2003-07-13 00:00:00,654264546,Color,Dolby Digital EX SDDS DTS,2.39 : 1
The Best Years of Our Lives,1946,170,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Jai Bhim,2021,164,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Exorcist,1973,122,R,11000000,233005644,8175666,2000-09-24 00:00:00,441306145,Color,Mono,1.85 : 1
Rush,2013,123,R,38000000,26947624,187289,2013-09-22 00:00:00,96992516,Color,Dolby Digital Datasat SDDS,2.35 : 1
Network,1976,121,R,0,0,0,1900-01-01 00:00:00,0,Color,Mono,1.85 : 1
The Wizard of Oz,1939,102,G,2777000,24668669,5354311,1998-11-08 00:00:00,25637669,,,
Stand by Me,1986,89,R,8000000,52287414,242795,1986-08-10 00:00:00,52290509,Color,Dolby Atmos Dolby Digital Mono,1.85 : 1
The Incredibles,2004,115,PG,92000000,261441092,70467623,2004-11-07 00:00:00,631688498,Black and White Color,Dolby Digital EX,2.39 : 12.35 : 1
Hachi: A Dog's Tale,2009,93,G,0,0,0,1900-01-01 00:00:00,0,Color,DTS Dolby Digital SDDS,1.85 : 1
My Father and My Son,2005,112,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,1.85 : 1
The Handmaiden,2016,145,Not Rated,10000000000,2006788,92129,2016-10-23 00:00:00,37863670,Color,Dolby Digital Dolby Atmos Dolby Surround 7.1,2.35 : 1
The Sound of Music,1965,172,G,8200000,159287539,413497,2018-09-09 00:00:00,159475084,,,
Into the Wild,2007,148,R,15000000,18354356,212440,2007-09-23 00:00:00,56676733,Color,DTS Dolby Digital SDDS,2.39 : 1
To Be or Not to Be,1942,99,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Battle of Algiers,1966,121,Not Rated,800000,879794,64870,2004-01-11 00:00:00,962002,Black and White,Mono,1.85 : 1
The Grapes of Wrath,1940,129,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Groundhog Day,1993,101,PG,14600000,71107962,12517672,1993-02-14 00:00:00,71108778,Color,Dolby Stereo Dolby Digital Dolby Atmos,1.85 : 1
Amores Perros,2000,154,R,2000000,5408467,61047,2001-04-01 00:00:00,20908467,Color,Dolby Digital,1.85 : 1
The Iron Giant,1999,86,PG,70000000,23315035,5732614,1999-08-08 00:00:00,23336504,,,
Rebecca,1940,130,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Cool Hand Luke,1967,127,Approved,0,0,0,1900-01-01 00:00:00,0,,,
The Help,2011,146,PG-13,25000000,169708112,26044590,2011-08-14 00:00:00,221802186,Color,Dolby Digital SDDS Datasat,1.85 : 1
It Happened One Night,1934,105,Approved,0,0,0,1900-01-01 00:00:00,0,,,
Drishyam,2015,163,Not Rated,0,0,0,1900-01-01 00:00:00,0,Color,Dolby Digital,2.35 : 1
Dances with Wolves,1990,181,PG-13,22000000,184208848,598257,1990-11-11 00:00:00,424208848,,,
Aladdin,1992,90,G,28000000,217350219,196664,1992-11-15 00:00:00,504050219,Color,Dolby Stereo,1.78 : 11.85 : 1
Scent of a Woman,1992,156,R,31000000,63095253,357468,1992-12-27 00:00:00,134095253,Color,Dolby Stereo,1.85 : 1
